epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.776,1.42503,3.17149,1.51293,0.00344,1,0.45844,0.30472,1.02981,3.63573,1.10799,0.000405983,0.000405983,0.000405983
2,380.22,1.33783,2.43724,1.40114,0.79439,0.35147,0.46332,0.29456,1.37997,3.87452,1.4651,0.000806361,0.000806361,0.000806361
3,577.478,1.34727,2.17683,1.40877,0.64846,0.72234,0.71648,0.45851,1.25505,3.24532,1.42864,0.00119024,0.00119024,0.00119024
4,774.224,1.37257,2.04894,1.40975,0.51016,0.44908,0.4381,0.24893,1.30998,3.36788,1.43508,0.00117575,0.00117575,0.00117575
5,972.54,1.35625,1.86557,1.37296,0.47859,0.60669,0.51628,0.3374,1.24409,3.02793,1.35453,0.001151,0.001151,0.001151
6,1170.95,1.32092,1.7595,1.37141,0.835,0.80594,0.9052,0.59377,1.1805,1.99336,1.25278,0.00112625,0.00112625,0.00112625
7,1366.26,1.31819,1.66457,1.34921,0.85013,0.71259,0.83017,0.54035,1.16611,1.75611,1.231,0.0011015,0.0011015,0.0011015
8,1562.7,1.27862,1.5004,1.31658,0.71993,0.70422,0.84702,0.5155,1.37122,1.71985,1.30942,0.00107675,0.00107675,0.00107675
9,1759.67,1.2621,1.40346,1.29412,0.65946,0.81136,0.89438,0.54797,1.3432,1.48596,1.31481,0.001052,0.001052,0.001052
10,1972.8,1.23001,1.34136,1.29856,0.84712,0.80495,0.80677,0.57674,0.99615,1.66761,1.1734,0.00102725,0.00102725,0.00102725
11,2123.56,1.22362,1.2944,1.29003,0.87493,0.80468,0.9387,0.6766,0.98452,1.13304,1.13522,0.0010025,0.0010025,0.0010025
12,2276.84,1.21906,1.24785,1.30094,0.77933,0.91999,0.92734,0.68388,0.89607,1.10049,1.10455,0.00097775,0.00097775,0.00097775
13,2430.23,1.14831,1.15124,1.25705,0.88026,0.81844,0.8506,0.61006,1.01318,1.24392,1.12257,0.000953,0.000953,0.000953
14,2584.47,1.15025,1.16145,1.25187,0.92484,0.83113,0.94395,0.71787,0.92199,0.89715,1.08748,0.00092825,0.00092825,0.00092825
15,2739.54,1.10346,1.092,1.21597,0.81904,0.85228,0.87802,0.6105,1.06384,1.11189,1.17268,0.0009035,0.0009035,0.0009035
16,2895.01,1.08905,1.00203,1.20813,0.88614,0.79579,0.91458,0.66676,0.9732,0.97423,1.08901,0.00087875,0.00087875,0.00087875
17,3050.97,1.08508,1.00663,1.22309,0.88296,0.90003,0.93964,0.74019,0.81149,0.81606,1.03801,0.000854,0.000854,0.000854
18,3206.93,1.08353,0.97469,1.20213,0.95737,0.92117,0.97974,0.75768,0.83586,0.70078,1.0442,0.00082925,0.00082925,0.00082925
